Parallelization_method,Problem_scaling,Number_of_GPUs,Total_number_of_options,Number_of_paths,Init_time_ms,Execution_time_ms
streamed,weak,2,33554432,262144,4.35773,17568.3
streamed,weak,2,33554432,262144,4.76898,17560.9
streamed,weak,2,33554432,262144,25.1572,17509.8
streamed,weak,2,33554432,262144,26.3034,17636.5
threaded,weak,2,33554432,262144,185.011,17285.1
threaded,weak,2,33554432,262144,198.39,17338.8
threaded,weak,2,33554432,262144,183.353,17343.6
threaded,weak,2,33554432,262144,199.039,17389.5
threaded,weak,2,33554432,262144,268.697,17222
threaded,weak,2,33554432,262144,301.439,17376.5
streamed,strong,2,67108864,262144,4.44249,35051.3
streamed,strong,2,67108864,262144,4.70064,35045.3
streamed,strong,2,67108864,262144,4.7633,34910.3
streamed,strong,2,67108864,262144,4.76034,35085.4
streamed,strong,2,67108864,262144,25.281,35080.1
streamed,strong,2,67108864,262144,26.3443,35061.3
threaded,strong,2,67108864,262144,211.402,34642.1
threaded,strong,2,67108864,262144,203.383,34580.3
threaded,strong,2,67108864,262144,215.94,34628.5
threaded,strong,2,67108864,262144,190.469,34490.1
threaded,strong,2,67108864,262144,276.455,34719.6
threaded,strong,2,67108864,262144,317.308,34702.7
streamed,weak,2,134217728,262144,4.76582,69891.4
streamed,weak,2,134217728,262144,4.79768,69950.3
streamed,weak,2,134217728,262144,4.78486,70023.5
streamed,weak,2,134217728,262144,4.7846,70014.3
streamed,weak,2,134217728,262144,25.4636,70153.2
streamed,weak,2,134217728,262144,26.3187,70319.1
threaded,weak,2,134217728,262144,195.857,69019.2
threaded,weak,2,134217728,262144,199.716,69097
threaded,weak,2,134217728,262144,194.722,69150.7
threaded,weak,2,134217728,262144,194.223,69172.9
threaded,weak,2,134217728,262144,271.961,69151.9
threaded,weak,2,134217728,262144,305.439,69417.9
streamed,strong,4,262144,262144,8.13083,80.2389
streamed,strong,4,262144,262144,6.7291,77.6257
streamed,strong,4,262144,262144,6.73673,70.6629
streamed,strong,4,262144,262144,7.69793,71.4215
streamed,strong,4,262144,262144,27.3487,71.9119
streamed,strong,4,262144,262144,29.2182,82.3994
threaded,strong,4,262144,262144,582.235,118.941
threaded,strong,4,262144,262144,659.462,80.6112
threaded,strong,4,262144,262144,552.169,99.3114
threaded,strong,4,262144,262144,593.327,125.81
threaded,strong,4,262144,262144,700.071,71.4263
threaded,strong,4,262144,262144,853.445,80.0075
streamed,weak,4,1048576,262144,6.82878,278.368
streamed,weak,4,1048576,262144,7.661,279.804
streamed,weak,4,1048576,262144,6.79315,278.224
streamed,weak,4,1048576,262144,6.86556,279.857
streamed,weak,4,1048576,262144,28.1928,279.252
streamed,weak,4,1048576,262144,28.747,281.863
threaded,weak,4,1048576,262144,666.948,305.402
threaded,weak,4,1048576,262144,573.683,294.89
threaded,weak,4,1048576,262144,602.55,333.322
threaded,weak,4,1048576,262144,607.573,287.008
threaded,weak,4,1048576,262144,755.187,333.015
threaded,weak,4,1048576,262144,822.225,273.86
streamed,strong,4,1048576,262144,6.92086,284.169
streamed,strong,4,1048576,262144,7.16239,281.055
streamed,strong,4,1048576,262144,7.6748,279.414
streamed,strong,4,1048576,262144,6.88741,279.895
streamed,strong,4,1048576,262144,27.6077,281.982
streamed,strong,4,1048576,262144,29.6646,296.198
threaded,strong,4,1048576,262144,606.942,311.073
threaded,strong,4,1048576,262144,540.275,273.71
threaded,strong,4,1048576,262144,592.143,281.543
threaded,strong,4,1048576,262144,713.315,298.028
threaded,strong,4,1048576,262144,740.652,324.962
threaded,strong,4,1048576,262144,886.869,302.927
streamed,weak,4,4194304,262144,6.8309,1102.45
streamed,weak,4,4194304,262144,6.73661,1102.48
streamed,weak,4,4194304,262144,7.60359,1103.82
streamed,weak,4,4194304,262144,6.89502,1106.86
streamed,weak,4,4194304,262144,27.373,1108.96
streamed,weak,4,4194304,262144,29.8686,1116.64
threaded,weak,4,4194304,262144,562.11,1107.88
threaded,weak,4,4194304,262144,599.877,1115.91
threaded,weak,4,4194304,262144,597.601,1104.18
threaded,weak,4,4194304,262144,675.142,1101.34
threaded,weak,4,4194304,262144,682.337,1088.66
threaded,weak,4,4194304,262144,859.71,1079.9
streamed,strong,4,16777216,262144,7.20114,4474.69
streamed,strong,4,16777216,262144,7.67426,4472.07
streamed,strong,4,16777216,262144,6.80985,4482.81
streamed,strong,4,16777216,262144,6.82042,4500.93
streamed,strong,4,16777216,262144,27.5569,4526.76
streamed,strong,4,16777216,262144,28.8727,4553.22
threaded,strong,4,16777216,262144,605.141,4425.81
threaded,strong,4,16777216,262144,549.767,4425.89
threaded,strong,4,16777216,262144,599.224,4462.36
threaded,strong,4,16777216,262144,593.06,4414.61
threaded,strong,4,16777216,262144,818.148,4551.36
threaded,strong,4,16777216,262144,894.127,4496.91
streamed,weak,4,67108864,262144,7.77053,18224.9
streamed,weak,4,67108864,262144,7.16984,18254.4
streamed,weak,4,67108864,262144,6.77011,18258.6
streamed,weak,4,67108864,262144,8.09889,18247.4
streamed,weak,4,67108864,262144,27.4103,18271.9
streamed,weak,4,67108864,262144,29.1405,18378.5
threaded,weak,4,67108864,262144,599.97,17609.1
threaded,weak,4,67108864,262144,588.489,17668.2
threaded,weak,4,67108864,262144,560.362,17737.3
threaded,weak,4,67108864,262144,597.162,17599.2
threaded,weak,4,67108864,262144,842.859,17637.6
threaded,weak,4,67108864,262144,904.017,17751.7
streamed,strong,4,67108864,262144,7.2404,18172.7
streamed,strong,4,67108864,262144,8.08858,18216.3
streamed,strong,4,67108864,262144,6.95283,18196.2
streamed,strong,4,67108864,262144,7.18617,18194.3
streamed,strong,4,67108864,262144,27.7744,18246.8
streamed,strong,4,67108864,262144,30.1526,18369
