Parallelization_method,Problem_scaling,Number_of_GPUs,Total_number_of_options,Number_of_paths,Init_time_ms,Execution_time_ms
streamed,strong,1,1048576,262144,8.36333,2670.89
streamed,strong,1,1048576,262144,8.09407,2672.64
streamed,strong,1,1048576,262144,8.04613,2671.79
streamed,strong,1,1048576,262144,8.1319,2671.87
streamed,strong,1,1048576,262144,7.94801,2669
streamed,strong,1,1048576,262144,8.07127,2668.83
streamed,strong,1,1048576,262144,8.11814,2668.99
streamed,strong,1,1048576,262144,8.06161,2668.51
streamed,strong,1,1048576,262144,8.57892,2670.37
streamed,strong,1,1048576,262144,8.22645,2672.75
streamed,strong,1,1048576,262144,28.5311,2674.27
streamed,strong,1,1048576,262144,9.39276,2679.17
streamed,strong,1,1048576,262144,8.1961,2671.47
streamed,strong,1,1048576,262144,8.15062,2672.59
streamed,strong,1,1048576,262144,8.15238,2668.78
streamed,strong,1,1048576,262144,8.04558,2670.11
streamed,strong,1,1048576,262144,8.39142,2671.13
streamed,strong,1,1048576,262144,8.0378,2668.99
streamed,strong,1,1048576,262144,8.0802,2671.68
streamed,strong,1,1048576,262144,8.1119,2671.66
streamed,strong,1,1048576,262144,8.05681,2672.98
streamed,strong,1,1048576,262144,8.73291,2671.85
streamed,strong,1,1048576,262144,8.10715,2670.87
streamed,strong,1,1048576,262144,28.8067,2672
threaded,strong,1,1048576,262144,231.343,2679.76
threaded,strong,1,1048576,262144,187.021,2698.51
threaded,strong,1,1048576,262144,188.875,2693.01
threaded,strong,1,1048576,262144,185.065,2672.52
threaded,strong,1,1048576,262144,183.744,2690.61
streamed,strong,1,1048576,262144,28.819,2670.41
streamed,strong,1,1048576,262144,28.6833,2667.96
streamed,strong,1,1048576,262144,29.2372,2685.6
streamed,strong,1,1048576,262144,29.4869,2683.64
streamed,strong,1,1048576,262144,28.7268,2671.67
streamed,strong,1,1048576,262144,28.5873,2671.58
streamed,strong,1,1048576,262144,28.4684,2669.65
streamed,strong,1,1048576,262144,28.7379,2669.62
streamed,strong,1,1048576,262144,29.726,2679.52
streamed,strong,1,1048576,262144,28.6002,2669.06
streamed,strong,1,1048576,262144,28.5958,2672.33
threaded,strong,1,1048576,262144,184.321,2671.17
threaded,strong,1,1048576,262144,182.947,2669.48
threaded,strong,1,1048576,262144,184.686,2686.19
threaded,strong,1,1048576,262144,182.048,2676.52
threaded,strong,1,1048576,262144,185.101,2677.54
threaded,strong,1,1048576,262144,187.232,2699.52
threaded,strong,1,1048576,262144,189.756,2681.18
threaded,strong,1,1048576,262144,183.197,2672.75
threaded,strong,1,1048576,262144,185.669,2672.82
threaded,strong,1,1048576,262144,186.784,2686.78
threaded,strong,1,1048576,262144,184.624,2695.99
threaded,strong,1,1048576,262144,183.233,2674.55
threaded,strong,1,1048576,262144,187.206,2673.84
threaded,strong,1,1048576,262144,184.629,2703.75
threaded,strong,1,1048576,262144,183.041,2708.75
threaded,strong,1,1048576,262144,186.841,2674.55
threaded,weak,1,1048576,262144,182.905,2672.29
streamed,weak,1,1048576,262144,28.6464,2668.75
streamed,strong,1,1048576,262144,29.2159,2638.62
streamed,strong,1,1048576,262144,28.8123,2607.88
streamed,strong,1,1048576,262144,29.4107,2694.47
streamed,strong,1,1048576,262144,28.5891,2606.55
